Anio,SemanaEstadistica,PM25
2013,11,7.4039850000000005
2013,12,14.249361666666667
2013,13,10.475380000000001
2013,14,22.529742857142857
2013,15,66.97622857142856
2013,16,23.98
2013,17,45.04758571428572
2013,18,35.8271
2013,19,61.331050000000005
2013,20,126.66141428571429
2013,21,46.04284
2013,22,26.03927142857143
2013,23,109.13040000000001
2013,24,96.65593333333334
2013,25,102.94102857142856
2013,26,63.64126666666667
2013,27,94.32946
2013,28,46.33164285714286
2013,29,101.24098571428571
2013,30,85.158
2013,31,49.014714285714284
2013,32,50.10711428571428
2013,33,92.84522857142858
2013,34,74.39932857142857
2013,35,37.50594285714286
2013,36,32.91664285714286
2013,37,43.36307142857142
2013,38,49.74997142857143
2013,39,47.52735714285715
2013,40,25.21427142857143
2013,41,16.529761428571426
2013,42,10.065470000000001
2013,43,15.327394285714286
2013,44,8.113092857142858
2013,45,8.289338571428571
2013,46,7.023801428571429
2013,47,6.540888571428572
2013,48,3.9516014285714287
2013,49,3.142854285714286
2013,50,2.692542857142857
2013,51,3.7701828571428573
2013,52,3.5416628571428572
2014,1,9.392119999999998
2014,2,4.446425714285715
2014,3,6.339282857142857
2014,4,4.438141428571429
2014,5,4.461694285714286
2014,6,4.738091428571429
2014,7,5.68452
2014,8,4.5540842857142865
2014,9,6.559518571428571
2014,10,6.8988000000000005
2014,11,5.489788571428571
2014,12,15.17659142857143
2014,13,19.33487285714286
2014,14,33.93962857142857
2014,15,29.89878
2014,16,50.41485
2014,17,42.24998571428572
2014,18,50.43450428571429
2014,19,37.03001428571429
2014,20,67.52864285714286
2014,21,74.56547142857143
2014,22,35.85144285714286
2014,23,20.56546142857143
2014,24,40.86617142857143
2014,25,90.00265714285715
2014,26,118.34064285714285
2014,27,47.4821
2014,28,101.07037142857143
2014,29,81.58328571428571
2014,30,59.47620857142857
2014,31,26.583314285714287
2014,32,61.27741428571429
2014,33,101.50588571428571
2014,34,51.63687142857143
2014,35,41.02124285714286
2014,36,23.95626142857143
2014,37,52.24427142857143
2014,38,25.43452857142857
2014,39,19.686285714285713
2014,40,27.0238
