Anio,SemanaEstadistica,PM25
2016,16,20.92947333333333
2016,17,46.3048
2016,18,40.95212857142857
2016,19,38.00707142857142
2016,20,36.83374285714286
2016,21,50.68604285714286
2016,22,20.989857142857144
2016,23,50.85912857142857
2016,24,60.07371428571428
2016,25,64.05311428571429
2016,26,54.03757142857143
2016,27,54.558885714285715
2016,28,26.607922857142857
2016,29,44.625
2016,30,26.502785714285714
2016,31,43.559514285714286
2016,32,49.649342857142855
2016,33,21.160714285714285
2016,34,29.767857142857142
2016,35,27.082485714285717
2016,36,30.88224285714286
2016,37,29.845228571428574
2016,38,24.3393
2016,39,19.404777142857142
2016,40,13.559961666666666
2016,41,12.486815714285713
2016,42,11.404757142857141
2016,43,10.16668
2016,44,10.178577142857142
2016,45,16.15477142857143
2016,46,22.66925714285714
2016,47,11.967802857142857
2016,48,21.01786285714286
2016,49,15.408371428571428
2016,50,29.72022857142857
2016,51,36.6488
2016,52,14.992068333333334
2017,1,30.875
2017,2,17.994904285714288
2017,3,51.618514285714284
2017,4,51.77355
2017,5,31.785957142857143
2017,6,15.857142857142858
2017,7,18.946414285714287
2017,8,19.828928571428573
2017,9,11.767848571428571
2017,10,14.101185714285714
2017,11,21.023814285714284
2017,12,29.875
2017,13,15.069449999999998
2017,14,13.745847142857142
2017,15,20.577371428571432
2017,16,20.5893
2017,17,27.7469
2017,18,40.333333333333336
2017,19,20.285714285714285
2017,20,30.166666666666668
2017,21,44.42857142857143
2017,22,56.57142857142857
2017,23,52.857142857142854
2017,24,66.75
2017,25,40.57142857142857
2017,26,39.57142857142857
2017,27,44.42857142857143
2017,28,36.42857142857143
2017,29,40.57142857142857
2017,30,55.42857142857143
2017,31,53.142857142857146
2017,32,27.714285714285715
2017,33,30.857142857142858
2017,34,25.285714285714285
2017,35,17.666666666666668
2017,36,24.0
2017,37,26.166666666666668
2017,38,21.0
2017,39,18.0
2017,40,11.0
2017,41,13.571428571428571
2017,42,18.166666666666668
2017,43,11.571428571428571
2017,44,12.142857142857142
2017,45,14.285714285714286
2017,46,13.714285714285714
2017,47,16.285714285714285
2017,48,17.142857142857142
2017,49,19.0
2017,50,12.571428571428571
2017,51,16.428571428571427
2017,52,12.192712499999999
2018,1,9.75
2018,2,13.333333333333334
2018,3,12.857142857142858
2018,4,15.142857142857142
2018,5,17.142857142857142
2018,6,13.571428571428571
2018,7,17.428571428571427
2018,8,9.857142857142858
2018,9,14.428571428571429
2018,10,17.0
2018,11,11.666666666666666
2018,12,15.285714285714286
2018,13,22.571428571428573
2018,14,19.571428571428573
2018,15,14.8
2018,16,30.166666666666668
2018,17,27.857142857142858
2018,18,32.142857142857146
2018,19,27.571428571428573
2018,20,38.857142857142854
2018,21,48.142857142857146
2018,22,32.42857142857143
2018,23,42.714285714285715
2018,24,41.857142857142854
2018,25,53.57142857142857
2018,26,56.857142857142854
2018,27,24.142857142857142
2018,28,43.285714285714285
2018,29,30.0
2018,30,46.0
2018,31,57.0
2018,32,37.285714285714285
2018,33,30.571428571428573
2018,34,31.857142857142858
2018,35,30.857142857142858
2018,36,32.0
2018,37,24.857142857142858
2018,38,20.0
2018,39,18.571428571428573
2018,40,21.428571428571427
2018,41,17.5
2018,42,
2018,43,11.5
2018,44,9.857142857142858
2018,45,10.428571428571429
2018,46,11.0
2018,47,10.857142857142858
2018,48,13.142857142857142
2018,49,12.0
2018,50,10.285714285714286
2018,51,13.142857142857142
2018,52,11.142857142857142
2019,1,16.75
2019,2,7.857142857142857
2019,3,12.285714285714286
2019,4,17.0
2019,5,17.571428571428573
2019,6,19.142857142857142
2019,7,17.714285714285715
2019,8,14.571428571428571
2019,9,17.857142857142858
2019,10,13.285714285714286
2019,11,17.285714285714285
2019,12,21.857142857142858
2019,13,22.0
2019,14,22.5
2019,15,33.0
2019,16,26.857142857142858
2019,17,29.285714285714285
2019,18,25.285714285714285
2019,19,32.0
2019,20,32.57142857142857
2019,21,32.714285714285715
2019,22,23.714285714285715
2019,23,39.57142857142857
2019,24,26.285714285714285
2019,25,53.857142857142854
2019,26,33.714285714285715
2019,27,52.0
2019,28,60.42857142857143
2019,29,60.57142857142857
2019,30,42.857142857142854
2019,31,31.0
2019,32,29.571428571428573
2019,33,35.857142857142854
2019,34,38.285714285714285
2019,35,23.857142857142858
2019,36,17.0
2019,37,17.285714285714285
2019,38,15.857142857142858
2019,39,21.857142857142858
2019,40,10.428571428571429
2019,41,22.142857142857142
2019,42,15.714285714285714
2019,43,20.0
2019,44,9.571428571428571
2019,45,16.428571428571427
2019,46,14.857142857142858
2019,47,15.0
2019,48,13.0
2019,49,16.0
2019,50,12.571428571428571
2019,51,11.857142857142858
2019,52,13.142857142857142
2020,1,14.6
2020,2,12.857142857142858
2020,3,16.571428571428573
2020,4,14.428571428571429
2020,5,13.571428571428571
2020,6,11.857142857142858
2020,7,19.714285714285715
2020,8,17.857142857142858
2020,9,18.714285714285715
2020,10,20.571428571428573
2020,11,18.0
2020,12,15.333333333333334
2020,13,15.714285714285714
2020,14,22.285714285714285
2020,15,20.285714285714285
2020,16,28.428571428571427
2020,17,19.857142857142858
2020,18,25.428571428571427
2020,19,31.0
2020,20,32.0
2020,21,30.428571428571427
2020,22,43.285714285714285
2020,23,33.714285714285715
2020,24,41.57142857142857
2020,25,35.285714285714285
2020,26,28.0
2020,27,21.285714285714285
2020,28,45.857142857142854
2020,29,55.0
2020,30,28.142857142857142
2020,31,47.714285714285715
2020,32,34.42857142857143
2020,33,32.142857142857146
2020,34,30.571428571428573
2020,35,13.428571428571429
