Anio,SemanaEstadistica,PM25
2014,1,8.822413333333333
2014,45,14.8753
2014,46,15.02397
2014,47,9.946024285714286
2014,48,10.21276857142857
2014,49,13.927681428571429
2014,50,12.733225714285714
2014,51,10.118455714285714
2014,52,12.868887142857144
2015,1,14.885425
2015,2,16.482157142857144
2015,3,18.220242857142857
2015,4,12.130935714285714
2015,5,13.730865714285715
2015,6,15.303557142857143
2015,7,21.035714285714285
2015,8,25.586428571428574
2015,9,12.916665714285715
2015,10,12.071437142857144
2015,11,29.446428571428573
2015,12,16.160714285714285
2015,13,15.9275
2015,14,15.149837142857141
2015,15,15.596947142857143
2015,16,14.684508571428571
2015,17,23.470242857142857
2015,18,30.496614285714287
2015,19,20.5238
2015,20,24.575385714285716
2015,21,15.813481428571427
2015,22,24.49614285714286
2015,23,25.9786
2015,24,11.805827142857142
2015,25,29.828057142857144
2015,26,26.099857142857143
2015,27,28.804814285714286
2015,28,19.08311714285714
2015,29,13.46244857142857
2015,30,26.498114285714284
2015,31,15.026375714285715
2015,32,13.720384285714287
2015,33,16.20532142857143
2015,34,21.197499999999998
2015,35,20.497842857142853
2015,36,22.59797142857143
2015,37,17.650985714285714
2015,38,18.432085714285712
2015,39,11.421734285714285
2015,40,11.69102142857143
2015,41,9.315668333333333
2015,42,9.559635714285715
2015,43,10.022058571428571
2015,44,9.871975714285714
2015,45,11.062538571428572
2015,46,8.520678571428572
2015,47,6.738548571428572
2015,48,7.590324285714286
2015,49,9.841854285714286
2015,50,13.23181
2015,51,10.78963
2015,52,9.72601
2015,53,8.754760000000001
2016,1,10.85821
2016,2,8.718729999999999
2016,3,10.514982857142856
2016,4,7.873075714285714
2016,5,9.84991
2016,6,10.765962857142856
2016,7,10.953158571428572
2016,8,13.321441428571429
2016,9,16.211971428571427
2016,10,14.373414285714286
2016,11,15.483914285714286
2016,12,21.64795714285714
2016,13,12.577962857142856
2016,14,11.8939
2016,15,12.279122857142857
2016,16,9.45706142857143
2016,17,18.475697142857143
2016,18,18.39062714285714
2016,19,13.567045714285713
2016,20,12.973112857142857
2016,21,17.56657142857143
2016,22,9.427176666666666
2016,23,23.05112857142857
2016,24,26.868385714285715
2016,25,31.289485714285714
2016,26,23.884495714285716
2016,27,23.704271428571428
2016,28,7.51372
2016,29,
2016,30,20.73455
2016,31,19.850385714285714
2016,32,28.16607142857143
2016,33,13.324242857142858
2016,34,15.646028571428571
2016,35,14.641314285714286
2016,36,22.794966666666667
2016,37,15.132764285714286
2016,38,20.865571428571428
2016,39,14.956500000000002
2016,40,13.499661428571429
2016,41,11.05399857142857
2016,42,10.765044285714286
2016,43,13.689395714285714
2016,44,13.432134
2016,45,16.797061666666668
2016,46,12.927480000000001
2016,47,8.257005714285715
2016,48,13.825042857142858
2016,49,11.936642857142857
2016,50,15.888328571428572
2016,51,10.060077142857143
2016,52,11.051138333333334
2016,53,9.414153333333333
2017,1,16.677681999999997
2017,2,10.93149
2017,3,20.97842857142857
2017,4,33.194314285714285
