Anio,SemanaEstadistica,PM25
2014,1,7.9395675
2014,2,6.654757142857143
2014,3,6.87862
2014,4,6.023807142857144
2014,5,6.392855714285714
2014,6,8.18453
2014,7,7.458329999999999
2014,8,7.473805714285715
2014,9,9.499478571428572
2014,10,15.412769999999998
2014,11,15.926014285714286
2014,12,11.896987142857142
2014,13,16.802271428571427
2014,14,22.391583333333333
2014,15,36.15264285714286
2014,16,32.12275714285715
2014,17,20.767857142857142
2014,18,39.04166142857143
2014,19,33.39166
2014,20,33.146044
2014,21,46.148785714285715
2014,22,32.08336571428571
2014,23,38.78438571428571
2014,24,44.90474285714286
2014,25,57.72222857142857
2014,26,72.49404285714286
2014,27,36.80553333333334
2014,28,76.14284285714287
2014,29,44.96425714285714
2014,30,59.14179
2014,31,34.54165142857143
2014,32,54.85894285714286
2014,33,71.58925714285714
2014,34,68.36307142857143
2014,35,60.13685714285714
2014,36,44.71427142857143
2014,37,49.38688571428572
2014,38,29.4107
2014,39,37.01784285714286
2014,40,28.9762
2014,41,29.714285714285715
2014,42,19.61904285714286
2014,43,10.52018
2014,44,28.1838
2014,45,23.35785
2014,46,8.448768571428571
2014,47,8.650827142857143
2014,48,8.174512857142856
2014,49,5.368571666666667
2014,50,6.891772857142857
2014,51,8.893782857142856
2014,52,7.156575714285714
2015,1,6.75963
2015,2,7.703285
2015,3,6.301119999999999
2015,4,6.070085714285715
2015,5,7.892405714285714
2015,6,7.817284285714286
2015,7,6.257295714285713
2015,8,8.402685714285715
2015,9,12.874737142857143
2015,10,8.70419
2015,11,10.25595142857143
2015,12,8.946424285714285
2015,13,11.421572857142857
2015,14,15.333633333333333
2015,15,21.8781
2015,16,35.37441428571429
2015,17,55.365700000000004
2015,18,64.81264285714285
2015,19,97.26797142857143
2015,20,46.24311
2015,21,54.357014285714286
2015,22,119.6795
2015,23,54.60013333333333
2015,24,72.99171428571428
2015,25,91.34934285714287
2015,26,97.36085714285716
2015,27,62.424814285714284
2015,28,61.46452857142857
2015,29,83.19875714285715
2015,30,47.60572857142857
2015,31,47.10477142857143
2015,32,74.51244285714286
2015,33,92.67702857142856
2015,34,55.35187142857143
2015,35,34.7536
2015,36,43.98724285714286
2015,37,76.59664285714287
2015,38,64.28008571428572
2015,39,43.28745714285714
2015,40,33.143857142857144
2015,41,28.090542857142857
2015,42,33.343785714285715
2015,43,21.5978
2015,44,27.2799
2015,45,17.0315
2015,46,16.921514285714288
2015,47,25.63425714285714
2015,48,17.2395
2015,49,14.299728571428572
2015,50,12.357851428571427
2015,51,16.392
2015,52,12.861646666666665
2015,53,9.47823
2016,1,11.330325714285715
2016,2,6.5034
2016,3,3.8866614285714287
2016,4,3.985452857142857
2016,5,6.1519328571428575
2016,6,5.096425
2016,7,4.429576
2016,8,6.7364871428571425
2016,9,7.904015
2016,10,12.519549999999999
2016,11,8.184275714285715
2016,12,8.610355714285713
2016,13,20.756465714285714
2016,14,44.950028571428575
2016,15,43.3665
2016,16,55.227828571428574
2016,17,99.43910000000001
2016,18,90.36294285714287
2016,19,95.45211428571429
2016,20,118.81184285714286
2016,21,117.27232857142857
2016,22,67.48422857142857
2016,23,72.96541428571429
2016,24,73.30595714285714
2016,25,88.27411428571429
2016,26,70.96935714285715
2016,27,63.01501
2016,28,94.0032
2016,29,80.869
2016,30,73.52922857142858
2016,31,51.241142857142854
2016,32,54.6248
2016,33,49.38401428571429
2016,34,62.45507142857143
2016,35,58.248728571428565
2016,36,64.79715714285715
2016,37,46.00671428571428
2016,38,31.794442857142858
2016,39,29.739842857142857
2016,40,32.80815714285715
2016,41,23.657814285714288
2016,42,28.39657142857143
2016,43,8.729241428571429
2016,44,13.65045857142857
2016,45,11.345857142857144
2016,46,7.595702857142856
2016,47,8.493798571428572
2016,48,5.136692857142857
2016,49,4.356561428571429
2016,50,5.902215714285714
2016,51,6.1650133333333335
2016,52,2.842708
2016,53,6.171336666666666
2017,1,5.453555714285714
2017,2,4.110861999999999
2017,3,4.49305
2017,4,4.18051
2017,5,5.0323
2017,6,5.074324285714286
2017,7,6.838077142857143
2017,8,4.01421
2017,9,6.509075714285714
2017,10,13.559077142857143
2017,11,9.41318
2017,12,13.565119999999999
2017,13,24.369571428571426
2017,14,41.07685714285714
2017,15,29.422885714285712
2017,16,40.767114285714285
2017,17,40.31371428571429
2017,18,29.571428571428573
2017,19,61.42857142857143
2017,20,59.285714285714285
2017,21,48.166666666666664
2017,22,64.28571428571429
2017,23,71.85714285714286
2017,24,70.85714285714286
2017,25,58.142857142857146
2017,26,59.0
2017,27,81.0
2017,28,73.14285714285714
2017,29,62.57142857142857
2017,30,54.42857142857143
2017,31,78.57142857142857
2017,32,32.285714285714285
2017,33,62.714285714285715
2017,34,44.42857142857143
2017,35,64.57142857142857
2017,36,67.85714285714286
2017,37,62.857142857142854
2017,38,41.8
2017,39,28.0
2017,40,27.0
2017,41,20.0
2017,42,21.833333333333332
2017,43,19.428571428571427
2017,44,23.0
2017,45,13.857142857142858
2017,46,14.714285714285714
2017,47,5.0
2017,48,7.0
2017,49,6.714285714285714
2017,50,6.666666666666667
2017,51,6.857142857142857
2017,52,5.6938025
2018,1,6.25
2018,2,6.0
2018,3,2.7142857142857144
2018,4,5.428571428571429
2018,5,3.4285714285714284
2018,6,3.2857142857142856
2018,7,5.714285714285714
2018,8,9.0
2018,9,6.0
2018,10,9.142857142857142
2018,11,16.142857142857142
2018,12,19.333333333333332
2018,13,17.428571428571427
2018,14,33.833333333333336
2018,15,51.142857142857146
2018,16,44.57142857142857
