Anio,SemanaEstadistica,PM25
2016,52,6.39997
2017,1,6.947164285714286
2017,2,7.443217142857143
2017,3,9.74489
2017,4,16.927614285714284
2017,5,10.03074142857143
2017,6,9.139165714285713
2017,7,9.800024285714287
2017,8,9.426590000000001
2017,9,8.938112857142857
2017,10,7.93822
2017,11,14.09464
2017,12,14.078271428571428
2017,13,14.142942857142858
2017,14,15.60611857142857
2017,15,20.17002857142857
2017,16,14.059214285714287
2017,17,38.79006666666667
2017,18,32.285714285714285
2017,19,37.285714285714285
2017,20,66.0
2017,21,104.0
2017,22,80.0
2017,23,70.71428571428571
2017,24,67.28571428571429
2017,25,46.0
2017,26,32.57142857142857
2017,27,48.0
2017,28,57.0
2017,29,62.0
2017,30,108.42857142857143
2017,31,68.71428571428571
2017,32,22.333333333333332
2017,33,23.857142857142858
2017,34,31.0
2017,35,48.857142857142854
2017,36,24.857142857142858
2017,37,20.428571428571427
2017,38,14.142857142857142
2017,39,12.428571428571429
2017,40,10.285714285714286
2017,41,17.571428571428573
2017,42,10.428571428571429
2017,43,7.142857142857143
2017,44,8.4
2017,45,8.571428571428571
2017,46,6.857142857142857
2017,47,11.0
2017,48,13.285714285714286
2017,49,10.428571428571429
2017,50,5.857142857142857
2017,51,10.142857142857142
2017,52,6.77987625
2018,1,7.75
2018,2,12.8
2018,3,11.857142857142858
2018,4,10.857142857142858
2018,5,15.0
2018,6,8.428571428571429
2018,7,12.285714285714286
2018,8,9.428571428571429
2018,9,8.571428571428571
2018,10,16.142857142857142
2018,11,8.714285714285714
2018,12,10.0
2018,13,11.714285714285714
2018,14,21.0
2018,15,20.857142857142858
2018,16,18.857142857142858
2018,17,45.42857142857143
2018,18,29.714285714285715
2018,19,45.714285714285715
2018,20,73.42857142857143
2018,21,66.57142857142857
2018,22,81.85714285714286
2018,23,64.0
2018,24,43.0
2018,25,17.142857142857142
2018,26,16.5
2018,27,11.75
2018,28,37.57142857142857
2018,29,63.714285714285715
2018,30,81.28571428571429
2018,31,57.0
2018,32,39.714285714285715
2018,33,17.833333333333332
2018,34,21.0
2018,35,28.428571428571427
2018,36,30.0
2018,37,21.714285714285715
2018,38,8.714285714285714
2018,39,12.571428571428571
2018,40,10.857142857142858
2018,41,15.571428571428571
2018,42,8.428571428571429
2018,43,8.142857142857142
2018,44,9.142857142857142
2018,45,9.571428571428571
2018,46,5.0
2018,47,8.714285714285714
2018,48,11.428571428571429
2018,49,12.714285714285714
2018,50,7.142857142857143
2018,51,11.428571428571429
2018,52,8.714285714285714
2019,1,12.625
2019,2,7.857142857142857
2019,3,13.285714285714286
2019,4,15.428571428571429
2019,5,15.428571428571429
2019,6,14.428571428571429
2019,7,43.42857142857143
2019,8,10.142857142857142
2019,9,12.714285714285714
2019,10,12.714285714285714
2019,11,13.428571428571429
2019,12,13.285714285714286
2019,13,19.428571428571427
2019,14,15.714285714285714
2019,15,16.714285714285715
2019,16,18.333333333333332
2019,17,44.285714285714285
2019,18,15.285714285714286
2019,19,47.0
2019,20,58.142857142857146
2019,21,100.71428571428571
2019,22,33.57142857142857
2019,23,40.857142857142854
2019,24,50.857142857142854
2019,25,66.57142857142857
2019,26,51.0
2019,27,36.714285714285715
2019,28,37.0
2019,29,49.0
2019,30,55.857142857142854
2019,31,34.714285714285715
2019,32,30.714285714285715
2019,33,30.142857142857142
2019,34,39.0
2019,35,23.0
2019,36,30.428571428571427
2019,37,21.833333333333332
2019,38,15.285714285714286
2019,39,15.571428571428571
2019,40,17.714285714285715
2019,41,14.714285714285714
2019,42,17.571428571428573
2019,43,12.714285714285714
2019,44,11.857142857142858
2019,45,11.714285714285714
2019,46,8.571428571428571
2019,47,12.0
2019,48,6.428571428571429
2019,49,9.857142857142858
2019,50,6.571428571428571
2019,51,8.142857142857142
2019,52,7.857142857142857
2020,1,16.8
2020,2,6.571428571428571
2020,3,12.285714285714286
2020,4,16.714285714285715
2020,5,11.4
2020,6,9.714285714285714
2020,7,11.428571428571429
2020,8,13.571428571428571
2020,9,13.428571428571429
2020,10,13.714285714285714
2020,11,9.0
2020,12,11.142857142857142
2020,13,13.166666666666666
2020,14,13.571428571428571
2020,15,25.571428571428573
2020,16,16.285714285714285
2020,17,19.714285714285715
2020,18,34.57142857142857
2020,19,41.285714285714285
2020,20,25.714285714285715
2020,21,64.0
2020,22,80.4
2020,23,109.85714285714286
2020,24,69.71428571428571
2020,25,29.428571428571427
2020,26,45.714285714285715
2020,27,55.0
2020,28,44.142857142857146
2020,29,34.714285714285715
2020,30,46.0
2020,31,62.857142857142854
2020,32,45.714285714285715
2020,33,39.57142857142857
2020,34,33.0
2020,35,18.428571428571427
2020,36,57.285714285714285
2020,37,29.571428571428573
2020,38,10.714285714285714
2020,39,19.428571428571427
2020,40,13.285714285714286
2020,41,9.571428571428571
2020,42,10.428571428571429
2020,43,9.857142857142858
2020,44,8.857142857142858
2020,45,9.571428571428571
2020,46,8.142857142857142
2020,47,6.285714285714286
2020,48,6.714285714285714
2020,49,9.857142857142858
2020,50,6.428571428571429
2020,51,6.857142857142857
2020,52,7.428571428571429
2020,53,6.75
2021,1,8.5
2021,2,8.714285714285714
2021,3,11.857142857142858
2021,4,7.857142857142857
2021,5,8.714285714285714
2021,6,8.142857142857142
2021,7,9.571428571428571
2021,8,14.714285714285714
2021,9,10.285714285714286
2021,10,11.714285714285714
2021,11,13.714285714285714
2021,12,12.857142857142858
2021,13,15.571428571428571
2021,14,16.142857142857142
2021,15,14.8
2021,16,21.714285714285715
2021,17,25.0
2021,18,50.285714285714285
