Anio,SemanaEstadistica,tavg
2014,1,21.7
2014,2,23.285714285714285
2014,3,22.657142857142855
2014,4,20.771428571428572
2014,5,21.67142857142857
2014,6,20.728571428571428
2014,7,20.428571428571427
2014,8,21.2
2014,9,18.714285714285715
2014,10,20.642857142857142
2014,11,18.75714285714286
2014,12,20.17142857142857
2014,13,15.914285714285715
2014,14,15.0
2014,15,14.785714285714286
2014,16,15.857142857142858
2014,17,13.857142857142858
2014,18,13.357142857142858
2014,19,14.742857142857144
2014,20,13.799999999999999
2014,21,9.0
2014,22,9.771428571428572
2014,23,7.257142857142857
2014,24,7.757142857142857
2014,25,9.157142857142857
2014,26,7.3999999999999995
2014,27,6.957142857142857
2014,28,8.4
2014,29,9.914285714285715
2014,30,8.3
2014,31,12.62857142857143
2014,32,8.6
2014,33,11.200000000000001
2014,34,10.942857142857141
2014,35,10.77142857142857
2014,36,11.1
2014,37,10.9
2014,38,12.814285714285715
2014,39,12.0
2014,40,14.685714285714285
2014,41,14.428571428571429
2014,42,16.485714285714288
2014,43,20.614285714285717
2014,44,16.414285714285715
2014,45,17.614285714285714
2014,46,20.014285714285712
2014,47,17.8
2014,48,17.085714285714285
2014,49,19.728571428571428
2014,50,19.62857142857143
2014,51,17.385714285714286
2014,52,21.02857142857143
2015,1,22.55
2015,2,22.5
2015,3,21.914285714285715
2015,4,21.271428571428572
2015,5,23.014285714285712
2015,6,22.542857142857144
2015,7,23.428571428571427
2015,8,20.099999999999998
2015,9,18.74285714285714
2015,10,20.457142857142856
2015,11,22.8
2015,12,22.25714285714286
2015,13,19.62857142857143
2015,14,19.514285714285712
2015,15,18.542857142857144
2015,16,15.671428571428573
2015,17,15.457142857142857
2015,18,15.557142857142859
2015,19,13.557142857142859
2015,20,13.271428571428572
2015,21,11.928571428571429
2015,22,10.37142857142857
2015,23,12.028571428571428
2015,24,8.885714285714286
2015,25,8.185714285714287
2015,26,9.700000000000001
2015,27,9.014285714285714
2015,28,10.142857142857142
2015,29,8.028571428571428
2015,30,8.8
2015,31,10.014285714285714
2015,32,11.114285714285714
2015,33,9.128571428571428
2015,34,11.700000000000001
2015,35,13.328571428571427
2015,36,15.742857142857144
2015,37,11.642857142857142
2015,38,12.907142857142857
2015,39,11.714285714285714
2015,40,15.042857142857143
2015,41,12.028571428571427
2015,42,13.342857142857143
2015,43,14.200000000000001
2015,44,16.67142857142857
2015,45,16.0
2015,46,17.75714285714286
2015,47,16.442857142857143
2015,48,18.17142857142857
2015,49,19.7
2015,50,20.32857142857143
2015,51,18.657142857142855
2015,52,21.471428571428568
2015,53,21.974999999999998
2016,1,21.457142857142856
2016,2,21.47142857142857
2016,3,22.3
2016,4,21.385714285714283
2016,5,20.8
2016,6,21.642857142857142
2016,7,21.957142857142856
2016,8,22.914285714285715
2016,9,21.185714285714287
2016,10,19.571428571428573
2016,11,19.8
2016,12,18.542857142857144
2016,13,16.6
2016,14,15.228571428571428
2016,15,14.985714285714286
2016,16,13.87142857142857
2016,17,13.357142857142858
2016,18,15.328571428571427
2016,19,12.785714285714286
2016,20,12.085714285714285
2016,21,11.142857142857142
2016,22,9.985714285714286
2016,23,7.985714285714286
2016,24,9.200000000000001
2016,25,7.028571428571429
2016,26,8.785714285714286
2016,27,6.957142857142857
2016,28,8.614285714285714
2016,29,10.314285714285715
2016,30,10.314285714285715
2016,31,9.571428571428571
2016,32,11.957142857142857
2016,33,11.242857142857144
2016,34,11.328571428571427
2016,35,10.285714285714286
2016,36,14.228571428571428
2016,37,12.614285714285714
2016,38,17.214285714285715
2016,39,15.114285714285714
2016,40,16.842857142857145
2016,41,15.799999999999999
2016,42,13.37142857142857
2016,43,17.557142857142857
2016,44,18.842857142857145
2016,45,20.400000000000002
2016,46,19.62857142857143
2016,47,17.65714285714286
2016,48,20.47142857142857
2016,49,18.985714285714288
2016,50,22.271428571428572
2016,51,20.585714285714285
2016,52,19.75
2016,53,20.8
2017,1,22.67142857142857
2017,2,24.114285714285717
2017,3,25.11428571428571
2017,4,25.37142857142857
2017,5,21.728571428571428
2017,6,21.428571428571427
2017,7,21.285714285714285
2017,8,24.714285714285715
2017,9,21.74285714285714
2017,10,20.442857142857143
2017,11,20.285714285714285
2017,12,18.314285714285713
2017,13,17.228571428571428
2017,14,16.12857142857143
2017,15,16.914285714285715
2017,16,16.557142857142857
2017,17,14.085714285714285
2017,18,12.585714285714285
2017,19,13.62857142857143
2017,20,9.642857142857142
2017,21,9.657142857142857
2017,22,9.042857142857143
2017,23,6.942857142857143
2017,24,7.685714285714285
2017,25,8.814285714285715
2017,26,10.142857142857142
2017,27,8.314285714285715
2017,28,7.814285714285715
2017,29,9.185714285714285
2017,30,8.457142857142857
2017,31,8.87142857142857
2017,32,8.942857142857141
2017,33,9.457142857142857
2017,34,9.9
2017,35,10.242857142857144
2017,36,9.471428571428572
2017,37,11.5
2017,38,13.471428571428572
2017,39,14.285714285714286
2017,40,13.285714285714286
2017,41,13.828571428571431
2017,42,15.742857142857144
2017,43,16.242857142857144
2017,44,14.585714285714285
2017,45,20.17142857142857
2017,46,18.2
2017,47,20.042857142857144
2017,48,17.97142857142857
2017,49,19.87142857142857
2017,50,20.785714285714285
2017,51,23.099999999999998
2017,52,22.9875
2018,1,22.4875
2018,2,21.24285714285714
2018,3,20.87142857142857
2018,4,21.17142857142857
2018,5,22.214285714285715
2018,6,21.957142857142856
2018,7,22.0
2018,8,21.314285714285713
2018,9,19.842857142857145
2018,10,20.02857142857143
2018,11,18.62857142857143
2018,12,18.585714285714285
