Anio,SemanaEstadistica,NumTotal
2020,39,525
2020,40,450
2020,41,427
2020,42,403
2020,43,406
2020,44,496
2020,45,417
2020,46,462
2020,47,494
2020,48,537
2020,49,457
2020,50,481
2020,51,477
2020,52,434
2020,53,367
2021,1,544
2021,2,478
2021,3,513
2021,4,516
2021,5,460
2021,6,492
2021,7,472
2021,8,579
2021,9,783
2021,10,857
2021,11,875
2021,12,992
2021,13,1041
2021,14,1056
2021,15,925
2021,16,889
2021,17,726
2021,18,792
2021,19,938
2021,20,986
2021,21,1036
2021,22,1044
2021,23,1038
2021,24,894
2021,25,724
2021,26,656
2021,27,576
2021,28,614
2021,29,560
2021,30,643
2021,31,558
2021,32,582
2021,33,605
2021,34,603
2021,35,587
2021,36,597
2021,37,494
2021,38,662
2021,39,694
2021,40,696
2021,41,773
2021,42,761
2021,43,837
2021,44,929
2021,45,927
2021,46,907
2021,47,765
2021,48,687
2021,49,645
2021,50,616
2021,51,676
2021,52,857
2021,53,163
2022,1,1059
2022,2,1043
2022,3,1219
2022,4,1460
2022,5,1837
2022,6,1617
2022,7,1181
2022,8,1105
2022,9,957
2022,10,1120
2022,11,1590
2022,12,1565
2022,13,1304
2022,14,1253
2022,15,1140
2022,16,1326
2022,17,1120
2022,18,1336
2022,19,1422
2022,20,1734
2022,21,1825
2022,22,1852
2022,23,2227
2022,24,2130
2022,25,2151
2022,26,1918
2022,27,1369
2022,28,1097
2022,29,1177
2022,30,1130
2022,31,1399
2022,32,1845
2022,33,2116
2022,34,1873
2022,35,1747
2022,36,1683
2022,37,1435
2022,38,1661
2022,39,1431
2022,40,1597
2022,41,2093
2022,42,2128
2022,43,2365
2022,44,2803
2022,45,2404
2022,46,2227
2022,47,2014
2022,48,1644
2022,49,1597
2022,50,1196
2022,51,1256
2022,52,1359
2023,1,1405
2023,2,991
2023,3,848
2023,4,858
2023,5,806
2023,6,732
2023,7,832
2023,8,921
2023,9,1112
2023,10,1379
2023,11,2259
2023,12,2076
2023,13,1804
2023,14,1797
2023,15,2043
2023,16,2305
2023,17,2564
2023,18,2943
2023,19,3028
2023,20,3147
2023,21,2927
2023,22,2726
2023,23,2518
2023,24,2026
2023,25,1886
2023,26,1554
2023,27,1066
2023,28,1115
2023,29,1156
2023,30,1274
2023,31,1605
2023,32,1776
2023,33,1683
2023,34,1535
2023,35,1666
2023,36,1751
2023,37,1796
2023,38,2133
2023,39,2270
2023,40,2120
2023,41,2326
2023,42,2318
2023,43,2236
2023,44,2001
2023,45,1914
2023,46,1729
2023,47,1940
2023,48,1684
2023,49,1666
2023,50,1511
2023,51,1308
2023,52,1538
2024,1,1039
2024,2,1040
2024,3,933
2024,4,896
2024,5,914
2024,6,1071
2024,7,962
2024,8,871
2024,9,812
2024,10,937
2024,11,1800
2024,12,2304
2024,13,1871
2024,14,1893
2024,15,1746
2024,16,2358
2024,17,2555
2024,18,2976
2024,19,3084
2024,20,3849
2024,21,3475
2024,22,2540
2024,23,2288
2024,24,1689
2024,25,1603
2024,26,1374
2024,27,1220
2024,28,1330
2024,29,1688
2024,30,2028
2024,31,2128
2024,32,2204
2024,33,2502
2024,34,2328
2024,35,2277
2024,36,1986
2024,37,2063
2024,38,406
